fushp
candle_begin_time,open,high,low,close,volume
2017-07-01 16:59:00,1.2,1.2,1.2,1.2,2366
2017-07-01 17:01:00,1.4,1.4,1.39,1.39,1130
2017-07-01 17:02:00,1.1,1.25,1.1,1.25,234.
2017-07-01 17:03:00,1.2,1.25,1.1,1.11,222
2017-07-01 17:04:00,1.1,1.1,1.0,1.0,430
2017-07-01 17:05:00,1.0,1.0,1.0,1.0,400.0
2017-07-01 17:06:00,1.08,1.08,0.7,1.0,3818
2017-07-01 17:07:00,1.04,1.04,0.5,0.55,245
2017-07-01 17:08:00,0.9,0.9,0.9,0.9,300.0
2017-07-01 17:09:00,0.9,0.9,0.9,0.9,1114.0
2017-07-01 17:10:00,0.6,0.99,0.6,0.97,4123
